lat,lon,flood_heig,elevation,precipitat,distance_to_river_deg,distance_to_river_m
14.63934712,121.1254948,0,30.371257782,16.0,0.026797001942868347,2974.4672156583865
14.6537707,121.0667862,0,67.6498794556,11.0,0.0008752092435508733,97.14822603414694
14.44360194,121.0365555,0,32.4965934753,9.0,0.0027098233000696645,300.7903863077328
14.65810257,121.0702444,0,72.9205703735,11.0,0.0024432916888687604,271.2053774644324
14.55738134,121.0905943,0,5.98287820816,11.0,0.00032025038514849985,35.547792751483485
14.65765405,121.0107609,0,19.3463172913,9.0,0.0041092383543124954,456.125457328687
14.64043127,121.0648772,0,55.1138572693,10.0,0.005063022887266787,561.9955404866134
14.64035082,121.0650221,0,55.1138572693,10.0,0.0049021765346149914,544.141595342264
14.65754095,121.0682856,0,70.8740692139,11.0,0.0025473678619635487,282.7578326779539
14.5685391,121.0597301,0,33.3664093018,9.0,0.0008036418232016996,89.20424237538866
14.48652373,121.0214357,0,19.6389961243,7.0,0.00396713128613693,440.3515727611992
14.77274289,121.0552408,0,68.3417205811,16.0,0.07285706672584454,8087.1344065687435
14.61917544,121.0495994,0,42.9330215454,9.0,0.005307537261065095,589.1366359782255
14.59077505,121.0588155,0,42.8373184204,9.0,0.0028516389888036454,316.53192775720464
14.59070107,121.1424602,0,0.0,6.0,0.04350669965144586,4829.24366131049
14.64706669,121.0633794,0,62.7913284302,10.0,0.004950446059909156,549.4995126499163
14.5622996,121.0496557,0,18.3568344116,8.0,0.0003144169306952086,34.900279307168155
14.64761628,121.0644025,0,63.6019172668,10.0,0.005517707263922795,612.4655062954303
14.64664833,120.9774641,0,13.4103212357,8.0,0.0018130513883803873,201.248704110223
14.65245154,121.0711321,0,72.1060638428,11.0,0.0006173434470360993,68.52512262100703
14.64705891,121.0633365,0,62.7913284302,10.0,0.004921670958333035,546.3054763749668
14.63332236,121.0702363,0,52.5322418213,10.0,0.0001832581811752302,20.341658110450552
14.7871457,121.0678921,0,74.2497253418,16.0,0.08886461944469207,9863.97275836082
14.66891789,121.1285958,0,34.5287971497,16.0,0.029679555740314955,3294.43068717496
14.64243283,121.0945461,0,14.8908691406,13.0,0.003207280464439361,356.00813155276904
14.64326955,121.0691473,0,58.6569480896,11.0,0.0036348863850901377,403.4723887450053
14.64325917,121.0691366,0,58.6569480896,11.0,0.003649773486249891,405.1248569737379
14.64675732,121.0678492,0,62.9480056763,11.0,0.0035743487776650784,396.7527143208237
14.65359257,121.0629944,0,62.8636283875,10.0,0.00019989414552748906,22.188250153551287
14.6524417,121.0689194,0,71.2519226074,11.0,0.0017498908823094263,194.2378879363463
14.65196681,121.0685948,0,71.2519226074,11.0,0.0017351979115041469,192.6069681769603
14.65196422,121.0685868,0,71.2519226074,11.0,0.0017411913508775106,193.27223994740368
14.65219777,121.068635,0,71.2519226074,11.0,0.0018169622243977411,201.68280690814927
14.52317247,121.0164366,0,13.1804542542,6.0,0.0032766209608226307,363.704926651312
14.56631963,121.0249588,0,9.97327899933,7.0,0.0012927774746212695,143.49829968296092
14.52881038,121.0167678,0,8.94515037537,7.0,0.00021165194164733466,23.49336552285415
14.62818846,121.0773701,0,30.4271450043,11.0,0.005162465056243385,573.0336212430157
14.6018221,121.1076531,0,11.4487142563,12.0,0.00812288622903799,901.6403714232168
